epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.416,1.39134,2.62682,1.26379,0.87666,0.18554,0.41783,0.25401,1.2159,2.62369,1.10411,0.0004,0.0004,0.0004
2,43.6576,1.19957,1.41957,1.16217,0.50734,0.09237,0.17775,0.07822,1.51877,2.63284,1.41941,0.000815921,0.000815921,0.000815921
3,61.7696,1.16134,1.30433,1.16725,0.47017,0.26907,0.28362,0.16363,1.23223,2.37819,1.31547,0.00122766,0.00122766,0.00122766
4,79.142,1.12678,1.19708,1.15138,0.66339,0.48695,0.50881,0.33481,1.17936,1.90291,1.2508,0.00163523,0.00163523,0.00163523
5,96.1706,1.07963,1.138,1.12196,0.67159,0.64265,0.66702,0.45776,1.10595,1.44751,1.23121,0.0019602,0.0019602,0.0019602
6,117.073,1.02766,1.03306,1.09122,0.64667,0.71285,0.72371,0.51847,1.05637,1.36776,1.16418,0.00195025,0.00195025,0.00195025
7,134.614,1.01315,0.99063,1.09217,0.7256,0.70355,0.76856,0.55327,1.00118,1.27633,1.13869,0.0019403,0.0019403,0.0019403
8,151.996,0.96901,0.93431,1.06785,0.76601,0.79518,0.82527,0.59644,1.00705,1.23519,1.12835,0.00193035,0.00193035,0.00193035
9,168.836,0.96186,0.93311,1.07521,0.7697,0.68788,0.79368,0.58315,0.96861,1.22213,1.10062,0.0019204,0.0019204,0.0019204
10,185.43,0.9492,0.8931,1.06839,0.81699,0.71687,0.79938,0.58924,1.05117,1.18885,1.17831,0.00191045,0.00191045,0.00191045
11,201.865,0.9334,0.88471,1.06639,0.78164,0.75803,0.83298,0.61977,0.93433,1.20582,1.08806,0.0019005,0.0019005,0.0019005
12,218.87,0.92216,0.87667,1.05806,0.79023,0.82451,0.85007,0.64755,0.92947,1.05796,1.08907,0.00189055,0.00189055,0.00189055
13,236.351,0.90897,0.83431,1.04294,0.83312,0.76707,0.86774,0.65472,0.91944,0.89832,1.0671,0.0018806,0.0018806,0.0018806
14,254.305,0.90131,0.81595,1.03869,0.81163,0.80029,0.86993,0.65097,0.93257,0.84129,1.06295,0.00187065,0.00187065,0.00187065
15,272.03,0.89393,0.80511,1.03571,0.81696,0.8111,0.87819,0.67006,0.90728,0.81991,1.06164,0.0018607,0.0018607,0.0018607
16,289.502,0.8781,0.79347,1.03166,0.8605,0.78414,0.88653,0.68398,0.84755,0.78493,1.03901,0.00185075,0.00185075,0.00185075
17,307.117,0.86477,0.77341,1.02815,0.80221,0.77711,0.85846,0.66118,0.87616,0.82595,1.05073,0.0018408,0.0018408,0.0018408
18,324.329,0.8562,0.75417,1.02156,0.8232,0.81124,0.88152,0.67396,0.88577,0.7813,1.06568,0.00183085,0.00183085,0.00183085
19,341.884,0.86139,0.76659,1.03175,0.82558,0.75563,0.85367,0.6634,0.87971,0.97384,1.05923,0.0018209,0.0018209,0.0018209
20,359.195,0.83855,0.75652,1.02024,0.83783,0.80399,0.88153,0.69229,0.84607,0.76259,1.03941,0.00181095,0.00181095,0.00181095
21,381.674,0.8576,0.7566,1.03012,0.81865,0.81727,0.87027,0.67172,0.86985,0.79692,1.04522,0.00180101,0.00180101,0.00180101
22,399.26,0.84112,0.73891,1.01612,0.78375,0.8012,0.8492,0.64841,0.90543,0.88463,1.07484,0.00179106,0.00179106,0.00179106
23,416.392,0.84383,0.73541,1.02041,0.79671,0.79418,0.8547,0.66432,0.86301,0.84091,1.05431,0.00178111,0.00178111,0.00178111
24,433.088,0.82182,0.72676,1.0195,0.80848,0.80723,0.87483,0.68845,0.82439,0.81483,1.03238,0.00177116,0.00177116,0.00177116
25,450.03,0.80741,0.69488,0.99752,0.80976,0.82479,0.87276,0.68073,0.87916,0.82973,1.06868,0.00176121,0.00176121,0.00176121
26,466.854,0.81101,0.71317,1.01237,0.84909,0.8022,0.87516,0.68363,0.83971,0.77589,1.03192,0.00175126,0.00175126,0.00175126
27,484.229,0.81667,0.72899,1.00844,0.8338,0.83616,0.8998,0.7112,0.81637,0.737,1.02325,0.00174131,0.00174131,0.00174131
28,501.88,0.79943,0.70385,0.99883,0.85888,0.81884,0.89691,0.71525,0.79403,0.73106,1.01624,0.00173136,0.00173136,0.00173136
29,519.591,0.79137,0.70455,1.01538,0.83486,0.83032,0.89739,0.70985,0.80369,0.71097,1.01125,0.00172141,0.00172141,0.00172141
30,537.402,0.78209,0.69621,0.99084,0.8318,0.81426,0.88622,0.71074,0.79333,0.76003,1.00847,0.00171146,0.00171146,0.00171146
31,555.255,0.78591,0.68179,0.99637,0.83285,0.84046,0.90991,0.73329,0.7654,0.66957,0.98919,0.00170151,0.00170151,0.00170151
32,572.996,0.78404,0.68161,0.99928,0.86685,0.81827,0.9031,0.72673,0.77206,0.71413,0.99642,0.00169156,0.00169156,0.00169156
33,590.314,0.78677,0.68594,1.0025,0.86021,0.81555,0.89993,0.7233,0.79852,0.68896,1.01408,0.00168161,0.00168161,0.00168161
34,607.714,0.76739,0.66511,0.98365,0.85007,0.81024,0.90328,0.72726,0.79302,0.7019,1.01389,0.00167166,0.00167166,0.00167166
35,624.655,0.77834,0.67947,0.9915,0.85367,0.8317,0.90841,0.73509,0.76134,0.68357,0.99481,0.00166171,0.00166171,0.00166171
36,645.019,0.75927,0.64951,0.97927,0.86981,0.82129,0.9079,0.7256,0.78008,0.69463,1.00425,0.00165176,0.00165176,0.00165176
37,662.3,0.75025,0.64843,0.98116,0.83751,0.81627,0.89438,0.71485,0.77722,0.6816,1.01245,0.00164181,0.00164181,0.00164181
38,678.472,0.74815,0.6461,0.9792,0.84027,0.84036,0.90074,0.73248,0.76115,0.68639,1.00878,0.00163186,0.00163186,0.00163186
39,695.206,0.74387,0.64836,0.97888,0.83599,0.82229,0.90469,0.73163,0.7566,0.72384,0.99666,0.00162191,0.00162191,0.00162191
40,711.942,0.74392,0.63477,0.97833,0.8452,0.83324,0.90957,0.74007,0.75698,0.6614,0.99409,0.00161196,0.00161196,0.00161196
41,729.091,0.73276,0.63406,0.98151,0.8591,0.82644,0.90627,0.74196,0.74551,0.67322,0.99022,0.00160201,0.00160201,0.00160201
42,746.866,0.74403,0.65026,0.9839,0.85485,0.82192,0.8988,0.72316,0.79049,0.68616,1.01336,0.00159206,0.00159206,0.00159206
43,764.026,0.76089,0.6487,0.98131,0.86688,0.81526,0.89749,0.714,0.79472,0.68307,1.01692,0.00158211,0.00158211,0.00158211
44,781.934,0.73215,0.62358,0.97168,0.8546,0.81827,0.90846,0.74648,0.71674,0.66507,0.97749,0.00157216,0.00157216,0.00157216
45,799.925,0.72766,0.61925,0.97272,0.8602,0.81124,0.89901,0.73252,0.75359,0.68871,0.98876,0.00156221,0.00156221,0.00156221
46,817.731,0.73247,0.62419,0.97424,0.84852,0.84237,0.90835,0.74565,0.72615,0.64381,0.98049,0.00155226,0.00155226,0.00155226
47,835.501,0.72997,0.62114,0.96983,0.86734,0.81225,0.89678,0.7305,0.75173,0.70469,0.98354,0.00154231,0.00154231,0.00154231
48,853.047,0.70522,0.60666,0.96666,0.86672,0.83576,0.9166,0.75706,0.71508,0.6151,0.97955,0.00153236,0.00153236,0.00153236
49,869.449,0.72498,0.61279,0.97384,0.84311,0.87751,0.92105,0.75157,0.74227,0.63435,0.98467,0.00152241,0.00152241,0.00152241
50,888.352,0.72709,0.61903,0.9713,0.87559,0.84036,0.92285,0.7538,0.72952,0.59657,0.98273,0.00151246,0.00151246,0.00151246
51,905.197,0.70703,0.60305,0.96385,0.85058,0.8504,0.90579,0.73944,0.73969,0.64553,0.97966,0.00150251,0.00150251,0.00150251
52,922.566,0.72511,0.61434,0.98148,0.86948,0.83635,0.915,0.74414,0.74382,0.63239,0.98644,0.00149256,0.00149256,0.00149256
53,939.311,0.70891,0.60854,0.96035,0.84507,0.81325,0.89284,0.73081,0.73805,0.68631,0.97714,0.00148261,0.00148261,0.00148261
54,957.096,0.71641,0.60682,0.96246,0.84138,0.83233,0.90759,0.74751,0.73162,0.65904,0.98105,0.00147266,0.00147266,0.00147266
55,974.983,0.69481,0.59319,0.96453,0.86064,0.83086,0.91287,0.75105,0.73682,0.63717,0.98944,0.00146271,0.00146271,0.00146271
56,992.269,0.70174,0.59569,0.96388,0.83361,0.84639,0.91299,0.75267,0.72543,0.6559,0.98113,0.00145276,0.00145276,0.00145276
